i,url,handle,name,subscribers,videos_count,views,created_date,location,product,discovery_keywords,family,channel_id,score_0_5,reason,other_topic,scored_by,bucket,evidence,description,top_video_titles,links
82,https://www.youtube.com/@%ec%9c%a4%ec%a3%bc%ea%b3%b5%eb%b0%a9,@%EC%9C%A4%EC%A3%BC%EA%B3%B5%EB%B0%A9,🌺윤주 공방🌺,2540,392,265466,2020-11-04,,,물레,filter:lang,UCixp63qR2gQhKpQHR5bTbpw,2,Handmade flower pot workshop mentioning electric wheel forming but focused on painted/carved pots retail.,hand-building,sonnet,drop,desc,"🌺윤주공방☎️010-6558-8132🌺풀떼기사랑 ❤️ 주문&문의 ❤️ 카드결제 환영합니다 안녕하세요, 윤주공방수제화분(풀떼기사랑)을 찾아 주시고 구입해 주셔서 감사합니다. 저희 공방 위치는 경기도 김포시 사우동104-7에 있습니다. 유투브에 올리는 저희 화분은 수작업으로 만들고,그리고,색감,조각까지 직접 100% 수작업으로 만들고 있습니다. 그림 채색을 마친후에 초벌을 한후 유약 시유를 하고 흙에 따라 1250도 까지 고온 소성을 거쳐서 가마에서 구워 나옵니다. 보통 전기물레로 성형한 화분이 무게는 가장 가볍습니다. 저희 화분은 수 작업으로 만들어도 전기물레로 만든것 처럼 가볍고 두드려보면 소리가 맑습니다. 공이많이들어 가는 작업이지만 싸이즈에 (싸이즈를 꼭 잘 보세요)비해 저렴하게 올리고 있습니다. 100%수작업 이기에 간혹 마르는 과정이나 굽는 과정에서 생길수 있는 1)비대칭 등이 있을수 있습니다. 2)유약 과정 중 생기는 밀림 현상, 눈물 자국 등이 보일수 있습니다. 3)충동구매후 단순변심은 반품사유가 될수없습니다. 위의 내용 들은 수제화분 특성상 생길수 있는 현상들이니 반품의 사유가 될수 없습니다. 올라온 상세 사진을 꼼꼼히 봐주세요,, 제품의 상세 ",,
83,https://www.youtube.com/@%eb%8f%8c%eb%b0%b0%ea%bd%83%ed%96%a5%ea%b8%b0%ec%82%b0%ea%b3%a8%eb%86%8d%eb%b6%80,@%EB%8F%8C%EB%B0%B0%EA%BD%83%ED%96%A5%EA%B8%B0%EC%82%B0%EA%B3%A8%EB%86%8D%EB%B6%80,돌배꽃 향기 산골농부,21000,109,15989758,2015-01-30,,,물레,filter:lang,UC5FgpvmIHTZ1SFK1sJXJCFg,0,"Rural vlog channel with a decorative '물레방아' water wheel pond, no pottery content.",,sonnet,drop,desc,산골마을에서 농사도 지어가면서 취미로 정자옆에 물레방아 생태 연못도 만들고 물고기들을 키우며 정원도 예쁘게 가꾸고 있습니다 취미로 각종 과일나무들도 심고 가꾸고 있습니다. 잘 훈련된 충견 진돗개 두마리와 함께 생활하고 있습니다. 시골살이 종합 브이로그 입니다.,,
84,https://www.youtube.com/@ahmchannel11,@AHMchannel11,AHM channel 11,212,79,2575,2024-11-09,,,wheel throwing,filter:technique,UCub0NyNXc57AcVoq4zbypKA,3,"Description mentions wheel throwing, hand-building and glazing tutorials generically without confirmed titles.",,sonnet,gray,desc,"YouTube is a valuable resource for both pottery and poll education. For potery, it offers tutorials on techniques like wheel throwing, hand-building, and glazing, along with creative inspiration and artist showcases. Viewers can access step-by-step guides, live streams, and tool reviews, making it ideal for learners of all levels. For poll education, YouTube helps users understand polling methods, data analysis, and how to interpret results. Videos explore types of polls (e.g., political, market research), as well as the ethics and accuracy of polling practices. Tutorials also teach how to des",,facebook.com/share/1DzVvH9bz9
85,https://www.youtube.com/@tv-fl9zb,@Tv-fl9zb,해외선물 대장Tv,519,50,59859,2018-03-03,,,물레,filter:lang,UCjAlEe9jz66gsdO7n7OCpRg,0,"Foreign futures trading livestream channel, '레전드' hashtag collision, unrelated to pottery.",,sonnet,drop,desc+titles,해선대장Tv 생방송안내 월~금 18:00 ~ 00:00 진행 #해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해외선물코비 #해외선물커플 #해선학교 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익,"300 common phrasal verbs in spoken English with examples. List of English phrasal verbs 5 hours, 32 minutes | 15 great English phrasal verbs for speaking list of common phrasal verbs in English with e 29 minutes | 100 English topics on different subjects for English conversation. English speaking practi 32 minutes | Learn English through British stories Short Story HD with subtitle 12 minutes, 38 seconds | British Council | Learn English through story The Whistle English Stories with Subtitles 2",
86,https://www.youtube.com/@%ea%b9%80%eb%8f%99%ea%b7%9c-k5l5w,@%EA%B9%80%EB%8F%99%EA%B7%9C-k5l5w,김동규,697,340,37965,2018-11-18,,,물레,filter:lang,UCzjIzHmgHZtQfgJ1FVFJN8Q,0,"Wind/hydro power generator patent channel, '물레방아' as water wheel reference, unrelated to pottery.",,sonnet,drop,desc+titles,"【발명의 명칭】 풍력과 수력 융합 발전기 시스템 【기술분야】 【0001】본 발명은 풍력과 수력 융합 발전기 시스템에 관한 것으로, 더욱 상세하게는; 강이나 바다 물 위에 떠서 풍력과 수력 융합 발전기 시스템이 바람의 방향에 따라 시스템 몸체 전체가 좌우로 또는 한 바퀴 돌면서 풍차와 물레방아가 바람을 정면으로 받아 발전량을 증가하는 제 1 실시 예와 제 2 실시 예는 풍력과 수력 융합 발전기 시스템을 산이나 들이나 강가에 설치하여 바람 방향에 따라 시스템 몸체 전체가 좌우로 또는 한 바퀴 돌면서 풍차와 물레방아가 바람을 정면으로 받아 발전량을 증가하는 방법과 시스템 몸체는 바람 방량을 따라 움직이지 못하고 고정되어 있으나 몸체 뒤쪽 뒤쪽구조물에 부착하여 수직으로 설치된 수직 돛대(23)가 바람의 방향에 따라 좌우로 혹은 한 바퀴 이상 돌면서 몸체 전체를 지렛대 작용을 하여 지렛대의 힘으로 다수로 설치된 물 펌프(15)로 물을 밀어 올려 물레방아를 돌려서 발전하는 것을 특징으로 하는 풍력과 수력 융합 발전기 시스템에 관한 것이다. 【발명의 효과 【발명의 효과】 【0015】 기존 풍력발전기 날개 길이가 50m 무게는 약 10톤을 높이 약 100m 높이에 지지탑 ","2026 년 바람 소득마을 소득 2배 원리 8 minutes, 59 seconds | 바람이 불면 돈이 들어오는 풍력발전기 9 minutes, 22 seconds | 바람이 불면 돈이 들어 오는 풍력발전기 바람소득마을 2 minutes, 31 seconds | 바람이 불면 돈이 들어 옵니다 풍력 발전 장치 11 minutes, 8 seconds | 햇빛과 바람 소득마을 용 발전량 약 2배 3 minutes, 27 seconds | 하나님의 독생자의 이름을 믿지아니함으로 벌써 심판을 받은 것이니라 요한복음 3장 18절 심판 받는 말씀은 마태복음 제 12장 입니다 사람의 사후 세계 15 minutes | 풍력발전 장치 발전량 2배 증가 바람 소득마을 선착순 9 minutes, 13 seconds | 2028-01-28 화재뚝 풍력발전 장치 1 minute, 6 seconds | 새 하늘에 신령한 복 28 minutes | 햇빛 소득마을 전기를 팔아  月1100만원 벌 수 있다 풍력과 믹",airchange.modoo.at
87,https://www.youtube.com/@%ed%8c%94%ea%b3%b5%ec%82%b0%ec%9e%90%ec%97%b0%ea%b3%b5%ec%9c%a0%ec%a0%95%ec%9b%90,@%ED%8C%94%EA%B3%B5%EC%82%B0%EC%9E%90%EC%97%B0%EA%B3%B5%EC%9C%A0%EC%A0%95%EC%9B%90,팔공산 가자,131,166,89585,2021-11-10,,,물레,filter:lang,UCyoTyjbm3uE0hO-2_VrdGQw,0,"Land/garden plot sales pitch channel, '시물레이션' collision, unrelated to pottery.",,sonnet,drop,desc,"010 8386 8608""내산을 만드는 사람들"" [팔공산 자연공유정원] 큰산을공유하고 나의정원갖기 🚨 내 땅 10평!🚨 한 번 만들면 산이 존재하는 한 자손 대대로! 소유권 등기하고 내 땅 위치지정 문패까지! 🌿 자연이 선사하는 평생 가치! * 🏡 소유권 등기 & 소산주 * 팔공산 청정 부지 10평에 대한 소유권을 등기하고, 나만의 약초정원을 평생 가꿀 수 있습니다.(33만) * 💧 청정 약수 상시 이용 * 인간이 음용하기에 가장 적합한 청정 계곡물을 생수 대용으로 언제든 이용할 수 있습니다. * 🌱 산삼, 약초, 유실수 재배 * 산양산삼, 더덕, 취나물 등 약초와 유실수를 직접 키우는 즐거움을 누려보세요. ✨ 왜 지금 시작해야 할까요? ^^만인을 이롭게하는 사업^^ 5년을 준비하고 시물레이션을 2년 돌려봤습니다 결론은 ""땅을 나누면 서로가 좋아진다""는 답이 나왔습니다 * 미래 가치 상승 * 사업 성장과 파종한 산삼의 가치 상승으로 회원권의 프리미엄 형성이 기대됩니다. * 자유로운 권리(지분등기와 공증위치지정으로 시스템관리) * 회원권은 양도, 상속, 매매가 자유롭게 가능하여 자손에게 물려줄 수 있습니다. 👨‍👩‍👧‍👦 가족과 함께하는 즐거움 * 다양한 야외",,
88,https://www.youtube.com/@amirahanifida2812,@amirahanifida2812,Amirahanifida,254,1243,5738,2021-12-09,,,물레,filter:lang,UC09-oPP87R76STt051tMLmg,0,"Personal reflection channel using '물레' as life metaphor, no pottery content, no wheel-throwing evidence.",,sonnet,drop,desc,인생은 물레와 같다 Want to avoid but still like 辛い過去を忘れる方法,,
89,https://www.youtube.com/@craftingcorner-pgsr,@CraftingCorner-PgSr,Crafting Corner,339,205,881914,2024-11-16,,,wheel throwing,filter:technique,UC6CgZ9V0zQFSQyA8a2FpZFg,4,Pottery-focused channel guiding wheel throwing and handbuilding into finished functional pieces.,,sonnet,keep,desc,"Get ready to get your hands dirty! This is your go-to channel for all things pottery. I'll guide you through everything from wheel throwing to handbuilding, and show you how to create unique and functional pieces. Let's turn a lump of clay into a work of art.",,
90,https://www.youtube.com/@soulspicemix123,@Soulspicemix123,Soul Mix videos,60,93,18295,2019-11-28,,,pottery wheel,filter:tool,UCS3jnjwzfGcyp_lbXkvIzuw,2,Mixed satisfying-content channel with pottery wheel clips but titles show unrelated travel food content.,,sonnet,drop,desc+titles,"soul mix videos 📸 Welcome to the most satisfying mix of creativity and vibes! Here you'll find calming pottery wheel art, emotional Urdu poetry (with English meaning), and delicious food visuals- all in one place. If you love relaxing videos with a touch of soul, this channel is for you. Sit back, relax, and enjoy the mix! Don't forget to Subscribe for more satisfying content!","Dining with the Last Known Cannibals!! (The Crocodile Tribe) Hindi Dubbed 6 minutes, 18 seconds | Pakistan's_Ultra_Bizarre_Street Food!!Exotic Meats of Lahore 19 minutes | RARE Pakistani Village Food!! The Mountain People of Hunza 17 minutes | Uyghur Muslim Food!! China Will Ban Me For This!! 27 minutes | How China is DESTROYING American Fast Food!! 20 minutes | $1 Bird VS $200 Bird!! Vietnam's RARE Street Food!! Vietnam 😱 21 minutes | India's Five Levels of Curry! It Almost Ended Me 11 minutes,",
91,https://www.youtube.com/@reviewphim136,@reviewphim136,해외선물 해선도령TV,275000,204,84559812,2023-03-11,,,물레,filter:lang,UCOEMH5Dq5EGMhwaH5cH8v6Q,0,"Foreign futures trading channel, '레전드' hashtag collision, unrelated to pottery.",,sonnet,drop,desc,"카카오톡 문의하기 ​​https://open.kakao.com/o/sTVtUuqg 1부 오전 10시~오후 3시 2부 오후 8시~새벽 12시 ▶HTS 신규 가입만 해도 20만 지급 ▶첫 담보 20% 지급 ▶매주 실현손익, 수수료 10% 페이백 이벤트 ▶지인 추천 및 다양한 이벤트 진행중입니다 #해외선물 #해외선물실시간 #해외선물가족방 #해외선물단톡방 #해외선물리딩 #해선학교 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익 #해외선물해선도령",,
92,https://www.youtube.com/@%ed%98%b8%eb%9d%bc%ec%a6%8c%eb%a1%9c%eb%b8%94%eb%a1%9d%ec%8a%a4,@%ED%98%B8%EB%9D%BC%EC%A6%8C%EB%A1%9C%EB%B8%94%EB%A1%9D%EC%8A%A4,스나장인 호라즌,49,57,19739,2016-09-13,,,물레,filter:lang,UCTpDhDPbPn2ByehgKvsT96Q,0,"Roblox gaming channel, '시물레이터' collision, no pottery content.",,sonnet,drop,desc+titles,안녕하세요. 스나장인 호라즌 입니다.친구추가방법.계정:leejea160922부계는 suvf101220입니다~라이벌 브래인로트 훔치기 강서구 비행시물레이터를 주로하는 유튜버입니다^^(채널장님이 촬영을 주로 못해서 영상이 늦게 올라갈때가 있습니다. 구취 하지마세요ㅠㅠㅠ좋댓구알 해주시고 가주세용~! 2번째 위에 사진이 있는데 그건 저랑 58명 화물차님입니다!!!),"상황극 폭8판 두대의 아N의 최후#roblox #로블록스 #로블계 #출처 현대자동차#추천추천추천추천추천추천추천추천추천추천추천추천추천추천추천#병맛 41 seconds | 내 첫 상황극 퍼진 아N의 최후#roblox #로블록스 #로블계 #출처 현대자동차,기아자동차#추천추천추천추천추천추천추천추천추천추천추천추천추천추천추천#병맛 41 seconds | 강소구 2탄 1 minute, 1 second | 강소구 1탄 1 minute, 1 second | 인천1 호선 1 minute, 1 second | 저 호라이즌 스나 뽑았어요 1 minute, 1 second | 독거미f99 타건영상 19 seconds | 음원출처 월수1972 1 minute, 19 seconds | 브훔대결ㄷㄷ 24 seconds | 같이 99밤 하실분 뉴비라 무시하지 마세요ㅠㅠㅠㅠ 17 seconds | 나의 라이벌 일상 #스나이퍼#칼찌#노줌샷ㄷㄷㄷ 1 minute, 52 seconds | 무언가 이상한? 대한항공 이륙",
93,https://www.youtube.com/@mypinkpottery,@Mypinkpottery,My pink pottery,192,82,41674,2025-01-05,,,pottery wheel,filter:tool,UCpm1Z0Eb7FpRyIVJvBchQdA,2,Ceramics hobbyist channel pivoting toward slip casting and mould work rather than wheel throwing.,slip-casting,sonnet,drop,desc,"My pottery journey started 32 years ago, i spent almost 3 years in ceramic classes (they were very trendy in the 90s) and then life happened. After having my babies and then they grew up i decided to try my hand at it again. I have a soap/candle business and you tube channel for that @Nelson Interior Soapery and thought this is my calm place to have a little me time. Come along as i re learn some old skills of casting and slip moulding and learn how to navigate my way through the pottery wheel and building process. https://pin.it/6gHC4tNT9",,mypinkpottery.com | pin.it/6gHC4tNT9
94,https://www.youtube.com/@%eb%ac%bc%eb%a0%88%eb%b0%a9%ec%95%97%ea%b0%84%ec%9d%b8%ec%83%9d%ec%82%ac,@%EB%AC%BC%EB%A0%88%EB%B0%A9%EC%95%97%EA%B0%84%EC%9D%B8%EC%83%9D%EC%82%AC,물레방앗간인생사,481,115,141848,2025-05-22,,,물레,filter:lang,UCbW10d23V6onCExgJ18wn8g,0,"AI-generated audio drama storytelling channel, '물레방앗간' used as nostalgic setting name only.",,sonnet,drop,desc+titles,"시간이 멈춘 듯한 방앗간, 그 안에 숨어 있던 이야기들이 다시 돌기 시작합니다. “물레방앗간인생사”는 세월의 무게와 감정의 결을 따라 흐르는 정통 감성 오디오 드라마 채널입니다. 웃음, 눈물, 분노, 그리고 가슴속 사연들을 감성 오디오 드라마로 풀어냅니다. 소리로 전해지는 인생 이야기. 그 시절, 우리 모두의 이야기를 들려드리면서 실화를 바탕으로 재구성한 내용도 들어 있습니다 🎙️ 이 콘텐츠는 인공지능 음성과 텍스트 기반 시나리오로 제작된 감성 드라마 콘텐츠입니다. 시니어 세대를 위한 공감과 위로의 이야기를 전하고자 제작되었습니다. 🎙️ 구독과 좋아요 항상 감사 드립니다. 여러분의 인생사도 함께 나누고 싶습니다. #오디오북 #사연라디오 #노후사연 #사연라디오 #감동실화 연락처 : tndks2007@naver.com","잠자기 전, 조용히 듣는 인생 이야기 5시간 | 백만장자인줄 알았다 재혼 후 드러난 진 | 불을 끄고 듣는 인생 이야기 | 손주 행사에 나만 부르지 않았다. | 잠자기 전, 조용히 듣는 인생 이야기 5시간 | 내돈은 펑펑 쓰면서 나한텐 아끼라는 아들.며느리 | 며느리의 한마디 이후 시어머니는 더이상 오지 않았다 | 쥬얼리 디자이너 며느리는 시어머니 무시했다가 철저히 무너졌다 | 며느리는 지팡이를 걷어 찼다 남 보기 부끄럽다고 | 70년 침묵 끝에 꺼낸 고백 | 반려견 콩이를 잃어 버린후 며느리의 충격적인 행동에 시어머니는 결심을 하게 됩니다 | 냉동창고에서 돌아 온 여자 #노후사연 #오디오북 | 반려견에게 유산 상속을 할 수 밖에 없었다 #오디오북 #유산상속  #반려견 | 30년만에 밝혀진 한강미제 사건의 비밀",
95,https://www.youtube.com/@plavkapro,@PlavkaPRO,Plavka Pro,1880,66,209769,2019-07-30,,,pottery wheel,filter:tool,UCJocUtjTbMyPO9lmrEypSsw,2,"Kiln/furnace manufacturer channel selling ovens, no on-camera wheel-throwing process shown.",,sonnet,drop,desc,"We manufacture high temperature ovens! Reliable Affordable Furnaces! In production, we use only modern technologies and materials, which allows us to make inexpensive and very technological ovens for work and hobbies. The operating temperature of our ovens is from 0 to 1250 degrees! Not maximum! Namely, working! In our furnaces, both fast melting of metals and gentle firing of high-temperature ceramic masses are possible. What makes any of our furnaces a universal working tool. In addition to ovens, we have a wide range of related products: For working with clay: Pottery wheels, extruders, rol",,plavka.pro | vk.com/plavkapro | instagram.com/plavka.pro | t.me/plavkapro
96,https://www.youtube.com/@beyondtheclaywall,@BeyondtheClayWall,Beyond the Clay Wall,1240,64,203885,2022-01-16,,,wheel throwing | pottery wheel,filter:technique,UCHU1Xy9ywjZcmMo5efWsPfw,5,Dedicated clay wheel channel with pottery wheel throwing tutorials and ASMR clay soundscapes.,,sonnet,keep,desc,"Welcome to Beyond the Clay Wall! Exploring beyond the single wall vessel . A place to find new ideas and expand your clay wheel repertoire. Clay tutorials, Clay Video, Pottery wheel throwing video tutorials and the ASMR Clay soundscapes. Together let’s explore the possibilities beyond the single wall thrown vessel. The greatest thing about clay, is the time we get to spend with it. Hit SUBSCRIBE and let’s meet up in the comments section. You can follow my sculptural work on my Instagram Page. https://www.instagram.com/jsallessculp/",,instagram.com/jsallessculp
97,https://www.youtube.com/@shoeboxstudioceramics,@ShoeboxStudioCeramics,Shoebox Studio Ceramics,1480,110,91717,2016-10-30,,,wheel throwing,filter:technique,UCGgHQ7FfyKxWv3ASoAdRD0g,5,"Australian potter's channel featuring wheel throwing, hand building, kiln openings and studio life content.",,sonnet,keep,desc,"Welcome to the studio of Shoebox Studio Ceramics. I’m Jane — a potter based in Secret Harbour, Western Australia. This channel is all about clay, curiosity, and making things with your hands. You’ll find wheel throwing, hand building, kiln openings, studio life, and my monthly Seat in Clay challenge. Pull up a chair, get muddy, and make along with me 🤍",,buymeacoffee.com/SnEPjhG42A | ko-fi.com/shoeboxstudio | shoeboxstudio.com.au | instagram.com/janes_shoebox_studio | facebook.com/JanesShoeboxStudio | shoebox_studio@yahoo.com.au | preview.mailerlite.i
98,https://www.youtube.com/@julieinminiature,@JulieinMiniature,Julie in Miniature,11800,628,6665002,2007-06-05,,,pottery wheel,filter:tool,UC8Fh_mG9fdgd9ixvrkOdvIg,4,Miniature art channel throwing 1/8-scale ceramics on miniature pottery wheel alongside other tiny crafts.,,sonnet,keep,desc,"Julie in Miniature is a long-running miniature art channel where tiny pottery, handmade miniatures, and slow, satisfying processes take center stage. From throwing delicate 1/8-scale ceramics on a miniature pottery wheel to building detailed miniature scenes and experimenting with clay, wood, and found objects, each piece is crafted entirely by hand in a small backyard studio or Julie's home. With a mix of calming process videos and playful, creative shorts, the channel celebrates patience, craftsmanship, and the joy of working small—proving that tiny art can hold a lot of heart. Join my maili",,bit.ly/4t0BLD9
99,https://www.youtube.com/@ceramicsjourney,@ceramicsjourney,CeramicsJourney ~ Amanda,896,95,773931,2025-08-20,,,wheel throwing,filter:technique,UCFrOZGI4v1NcBEL1hWH_hdw,5,Beginner pottery journey channel explicitly focused on wheel throwing with some handbuilding technique.,,sonnet,keep,desc,"Hi, I’m Amanda! I started CeramicsJourney to document my growth as a potter and to share what the real process of learning, experimenting, and growing as a ceramicist. If you’ve ever wanted to explore pottery, you’re in the right place. On this channel, you’ll find: 🎥 Pottery for beginners — step-by-step guides, tips, and beginner-friendly tutorials 🌀 Wheel throwing and maybe some handbuilduing techniques (successes + struggles included!) 🏺 Studio vlogs, Workshop experiences & behind-the-scenes of my pottery practice 🌍 My journey learning from potters around the world, including my internship ",,instagram.com/ceramicsjourney?igsh=OGZydXhqOWlwMjJj | tiktok.com/@ceramicsjourney?_t=ZN-8z2k36ms8m6&_r=1
